X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-0.05822,51.542046,0,0,0,21.7,2016/07/16 19:38:26,,,,,,,,,,,,,,,,,,,,,
-0.058164,51.542071,0,0,1,21.7,2016/07/16 19:38:30,,,,,,,,,,,,,,,,,,,,,
-0.058119,51.542108,0,0,2,21.7,2016/07/16 19:38:32,,,,,,,,,,,,,,,,,,,,,
-0.058094,51.542142,0,0,3,21.6,2016/07/16 19:38:34,,,,,,,,,,,,,,,,,,,,,
-0.058064,51.542164,0,0,4,21.6,2016/07/16 19:38:35,,,,,,,,,,,,,,,,,,,,,
-0.05805,51.542207,0,0,5,21.5,2016/07/16 19:38:37,,,,,,,,,,,,,,,,,,,,,
-0.058033,51.54226,0,0,6,21.3,2016/07/16 19:38:39,,,,,,,,,,,,,,,,,,,,,
-0.05802,51.542289,0,0,7,21.2,2016/07/16 19:38:40,,,,,,,,,,,,,,,,,,,,,
-0.058,51.54232,0,0,8,21.1,2016/07/16 19:38:41,,,,,,,,,,,,,,,,,,,,,
-0.057977,51.542352,0,0,9,21,2016/07/16 19:38:42,,,,,,,,,,,,,,,,,,,,,
-0.057951,51.542386,0,0,10,20.9,2016/07/16 19:38:43,,,,,,,,,,,,,,,,,,,,,
-0.057925,51.542423,0,0,11,20.8,2016/07/16 19:38:44,,,,,,,,,,,,,,,,,,,,,
-0.057899,51.542459,0,0,12,20.6,2016/07/16 19:38:45,,,,,,,,,,,,,,,,,,,,,
-0.057877,51.542494,0,0,13,20.5,2016/07/16 19:38:46,,,,,,,,,,,,,,,,,,,,,
-0.057863,51.542523,0,0,14,20.4,2016/07/16 19:38:47,,,,,,,,,,,,,,,,,,,,,
-0.057853,51.542556,0,0,15,20.3,2016/07/16 19:38:48,,,,,,,,,,,,,,,,,,,,,
-0.057839,51.542592,0,0,16,20.2,2016/07/16 19:38:49,,,,,,,,,,,,,,,,,,,,,
-0.057821,51.542628,0,0,17,20,2016/07/16 19:38:50,,,,,,,,,,,,,,,,,,,,,
-0.057803,51.542658,0,0,18,19.9,2016/07/16 19:38:51,,,,,,,,,,,,,,,,,,,,,
-0.057768,51.542689,0,0,19,19.8,2016/07/16 19:38:52,,,,,,,,,,,,,,,,,,,,,
-0.05773,51.542718,0,0,20,19.7,2016/07/16 19:38:53,,,,,,,,,,,,,,,,,,,,,
-0.057697,51.542746,0,0,21,19.6,2016/07/16 19:38:54,,,,,,,,,,,,,,,,,,,,,
-0.057666,51.542786,0,0,22,19.5,2016/07/16 19:38:56,,,,,,,,,,,,,,,,,,,,,
-0.057633,51.542833,0,0,23,19.3,2016/07/16 19:38:58,,,,,,,,,,,,,,,,,,,,,
-0.057607,51.542859,0,0,24,19.2,2016/07/16 19:38:59,,,,,,,,,,,,,,,,,,,,,
-0.057552,51.542909,0,0,25,19,2016/07/16 19:39:01,,,,,,,,,,,,,,,,,,,,,
-0.057512,51.542947,0,0,26,19,2016/07/16 19:39:02,,,,,,,,,,,,,,,,,,,,,
-0.05747,51.542991,0,0,27,19,2016/07/16 19:39:03,,,,,,,,,,,,,,,,,,,,,
-0.057365,51.543062,0,0,28,19,2016/07/16 19:39:04,,,,,,,,,,,,,,,,,,,,,
-0.057326,51.543104,0,0,29,19,2016/07/16 19:39:05,,,,,,,,,,,,,,,,,,,,,
-0.057288,51.543146,0,0,30,19,2016/07/16 19:39:06,,,,,,,,,,,,,,,,,,,,,
-0.057233,51.543199,0,0,31,19,2016/07/16 19:39:07,,,,,,,,,,,,,,,,,,,,,
-0.057201,51.543237,0,0,32,19,2016/07/16 19:39:08,,,,,,,,,,,,,,,,,,,,,
-0.057165,51.543268,0,0,33,19,2016/07/16 19:39:09,,,,,,,,,,,,,,,,,,,,,
-0.05714,51.5433,0,0,34,19,2016/07/16 19:39:10,,,,,,,,,,,,,,,,,,,,,
-0.05709,51.54334,0,0,35,19,2016/07/16 19:39:14,,,,,,,,,,,,,,,,,,,,,
-0.057055,51.54338,0,0,36,19,2016/07/16 19:39:17,,,,,,,,,,,,,,,,,,,,,
-0.057042,51.543397,0,0,37,19,2016/07/16 19:39:18,,,,,,,,,,,,,,,,,,,,,
-0.057029,51.543427,0,0,38,19,2016/07/16 19:39:20,,,,,,,,,,,,,,,,,,,,,
-0.057006,51.543469,0,0,39,19.1,2016/07/16 19:39:22,,,,,,,,,,,,,,,,,,,,,
-0.05697,51.54352,0,0,40,19.1,2016/07/16 19:39:24,,,,,,,,,,,,,,,,,,,,,
-0.056949,51.543551,0,0,41,19.1,2016/07/16 19:39:25,,,,,,,,,,,,,,,,,,,,,
-0.056925,51.543582,0,0,42,19.2,2016/07/16 19:39:26,,,,,,,,,,,,,,,,,,,,,
-0.056908,51.543614,0,0,43,19.2,2016/07/16 19:39:27,,,,,,,,,,,,,,,,,,,,,
-0.056885,51.543646,0,0,44,19.2,2016/07/16 19:39:28,,,,,,,,,,,,,,,,,,,,,
-0.056864,51.543678,0,0,45,19.2,2016/07/16 19:39:29,,,,,,,,,,,,,,,,,,,,,
-0.056842,51.543713,0,0,46,19.3,2016/07/16 19:39:30,,,,,,,,,,,,,,,,,,,,,
-0.056818,51.543746,0,0,47,19.3,2016/07/16 19:39:31,,,,,,,,,,,,,,,,,,,,,
-0.056795,51.543781,0,0,48,19.3,2016/07/16 19:39:32,,,,,,,,,,,,,,,,,,,,,
-0.056769,51.543813,0,0,49,19.2,2016/07/16 19:39:33,,,,,,,,,,,,,,,,,,,,,
-0.056745,51.543845,0,0,50,19.1,2016/07/16 19:39:34,,,,,,,,,,,,,,,,,,,,,
-0.056722,51.543876,0,0,51,19.1,2016/07/16 19:39:35,,,,,,,,,,,,,,,,,,,,,
-0.056697,51.543907,0,0,52,19,2016/07/16 19:39:36,,,,,,,,,,,,,,,,,,,,,
-0.056674,51.543939,0,0,53,18.9,2016/07/16 19:39:37,,,,,,,,,,,,,,,,,,,,,
-0.056648,51.543973,0,0,54,18.8,2016/07/16 19:39:38,,,,,,,,,,,,,,,,,,,,,
-0.056615,51.544009,0,0,55,18.8,2016/07/16 19:39:39,,,,,,,,,,,,,,,,,,,,,
-0.056583,51.544042,0,0,56,18.7,2016/07/16 19:39:40,,,,,,,,,,,,,,,,,,,,,
-0.056554,51.544074,0,0,57,18.6,2016/07/16 19:39:41,,,,,,,,,,,,,,,,,,,,,
-0.056522,51.544108,0,0,58,18.5,2016/07/16 19:39:42,,,,,,,,,,,,,,,,,,,,,
-0.056486,51.544143,0,0,59,18.4,2016/07/16 19:39:43,,,,,,,,,,,,,,,,,,,,,
-0.056454,51.544175,0,0,60,18.4,2016/07/16 19:39:44,,,,,,,,,,,,,,,,,,,,,
-0.056423,51.544207,0,0,61,18.3,2016/07/16 19:39:45,,,,,,,,,,,,,,,,,,,,,
